channel,voltage,n_rows,mean_mag,pre_mean,post_orig_mean,post_norm_mean,pre_std,post_orig_std,post_norm_std
manual_x,1,208,4.926417073453307,0.14927193886621454,0.01778495789763859,0.017717417272597995,0.015205796356193934,0.0033250644249875646,0.00329018635865539
manual_x,2,209,9.845285560332641,0.2584733715056884,0.031780424170469716,0.0317753845542411,0.018354559178453907,0.0076726012400992515,0.007661806085550656
manual_x,3,209,14.851573740019868,0.3925835402745428,0.046477227701028266,0.04641791769076054,0.02318795471543606,0.009631677087380268,0.009728709709957246
manual_x,4,209,19.639748218502064,0.4995113696559037,0.06146665747016444,0.061559733569528576,0.028295004341393204,0.012466868234343932,0.012543061854188605
manual_x,5,208,24.361060128193614,0.6334620500766825,0.11928838547215184,0.11926892265692612,0.035803106493712045,0.06827184055968097,0.06828572087507906
manual_y,1,209,5.017999128726807,0.14893747657252884,0.01957077067674797,0.019541837266557446,0.014332816159718974,0.0026586569231898493,0.0026875167637185056
manual_y,2,209,9.984083064943604,0.2577609914747899,0.03833898257980744,0.03831261124048933,0.016676666803082652,0.00728932922398006,0.0073442312292829395
manual_y,3,208,14.866200500121815,0.3885080012410987,0.05619612738513372,0.0561133952017775,0.02257197266714025,0.00837530411963137,0.008494987459879174
manual_y,4,210,19.59692237842875,0.48780080638437917,0.06706001755264543,0.0670938953802169,0.02868648278004188,0.011768687922518667,0.011916775716848191
manual_y,5,215,24.43181562408458,0.6007461287884007,0.1379517367856561,0.13778065127238887,0.03974255991859863,0.06109603849935265,0.061266502471164795
manual_z,1,235,4.606763285412647,0.13592522326797493,0.02873955153556058,0.02862106084891669,0.0013868745020183086,0.0008994390144753342,0.0008984283672142494
manual_z,2,225,9.504589005077342,0.24381981939018607,0.05506048364379182,0.05506800963546522,0.0009725199752846952,0.0005257662397440176,0.0005248184284402926
manual_z,3,215,14.501136499578847,0.37955350232695556,0.06249114882400342,0.06288285818896859,0.0018346636481107942,0.002206324260884119,0.002196264514351183
manual_z,4,228,18.985136628250366,0.521264482781879,0.0734807013226989,0.07263771183662786,0.0027273769647898605,0.0040079283491736865,0.004048359991075141
manual_z,5,260,22.917786905787487,0.6706121563426629,0.08002505888026158,0.08017781423133066,0.0053322033770188985,0.009701001461003259,0.009666347173247963
