channel,voltage,n_rows,mean_mag,pre_mean,post_orig_mean,post_norm_fair,post_norm_train,pre_std,post_orig_std,post_norm_fair_std,post_norm_train_std
manual_x,1,208,4.926417073453307,0.14927193886621454,0.017779482319805567,0.017717417272597995,0.017717417272597995,0.015205796356193934,0.003298862867790573,0.00329018635865539,0.00329018635865539
manual_x,2,209,9.845285560332641,0.2584733715056884,0.03179668428010371,0.0317753845542411,0.0317753845542411,0.018354559178453907,0.007661329543351985,0.007661806085550656,0.007661806085550656
manual_x,3,209,14.851573740019868,0.3925835402745428,0.046486200988283155,0.04641791769076054,0.04641791769076054,0.02318795471543606,0.009640778819955755,0.009728709709957246,0.009728709709957246
manual_x,4,209,19.639748218502064,0.4995113696559037,0.06151021993858085,0.061559733569528576,0.06155973356952858,0.028295004341393204,0.012465902935659913,0.012543061854188605,0.012543061854188605
manual_x,5,208,24.361060128193614,0.6334620500766825,0.11931511528252921,0.11926892265692612,0.11926892265692612,0.035803106493712045,0.06827289833720385,0.06828572087507906,0.06828572087507906
manual_y,1,209,5.017999128726807,0.14893747657252884,0.01955425448395771,0.019541837266557446,0.019541837266557446,0.014332816159718974,0.002641126749286392,0.0026875167637185056,0.0026875167637185056
manual_y,2,209,9.984083064943604,0.2577609914747899,0.03833322205870372,0.03831261124048933,0.03831261124048933,0.016676666803082652,0.007297097591504936,0.0073442312292829395,0.00734423122928294
manual_y,3,208,14.866200500121815,0.3885080012410987,0.05617133651874949,0.0561133952017775,0.0561133952017775,0.02257197266714025,0.00838095923706418,0.008494987459879174,0.008494987459879174
manual_y,4,210,19.59692237842875,0.48780080638437917,0.06707959551517825,0.0670938953802169,0.0670938953802169,0.02868648278004188,0.011783324326555464,0.011916775716848191,0.011916775716848191
manual_y,5,215,24.43181562408458,0.6007461287884007,0.13790967683392263,0.13778065127238887,0.13778065127238887,0.03974255991859863,0.06111718624912283,0.061266502471164795,0.061266502471164795
manual_z,1,235,4.606763285412647,0.13592522326797493,0.02871556698808671,0.02862106084891669,0.028621060848916687,0.0013868745020183086,0.0008990547138135315,0.0008984283672142494,0.0008984283672142492
manual_z,2,225,9.504589005077342,0.24381981939018607,0.05504774558070395,0.05506800963546522,0.05506800963546522,0.0009725199752846952,0.0005259957519200316,0.0005248184284402926,0.0005248184284402928
manual_z,3,215,14.501136499578847,0.37955350232695556,0.062486345420620024,0.06288285818896859,0.06288285818896859,0.0018346636481107942,0.0022061313871655653,0.002196264514351183,0.002196264514351183
manual_z,4,228,18.985136628250366,0.521264482781879,0.07347578875610332,0.07263771183662786,0.07263771183662786,0.0027273769647898605,0.004008251112417513,0.004048359991075141,0.004048359991075141
manual_z,5,260,22.917786905787487,0.6706121563426629,0.08002897192829106,0.08017781423133066,0.08017781423133066,0.0053322033770188985,0.009700684077743188,0.009666347173247963,0.009666347173247963
